timestamp_sec,type,traffic(MB)
1711662484,W,247.625
1711662485,R,1.625
1711662485,W,245.99609375
1711662486,R,1.44921875
1711662486,W,246.7578125
1711662487,R,0.0
1711662487,W,248.0390625
1711662488,R,0.0546875
1711662488,W,248.0234375
1711662489,R,0.046875
1711662489,W,248.375
1711662490,R,0.0
1711662490,W,247.91796875
1711662491,R,0.0
1711662491,W,248.09375
1711662492,R,9.2265625
1711662492,W,237.5859375
1711662493,R,0.24609375
1711662493,W,247.5
1711662494,R,6.30859375
1711662494,W,242.859375
1711662495,R,0.01953125
1711662495,W,248.01953125
1711662496,R,0.0
1711662496,W,247.67578125
1711662497,R,0.0
1711662497,W,248.01953125
1711662498,R,0.0
1711662498,W,248.03125
1711662499,R,0.00390625
1711662499,W,247.94921875
1711662500,R,7.62890625
1711662500,W,240.35546875
1711662501,R,28.11328125
1711662501,W,219.71484375
1711662502,R,28.0
1711662502,W,220.203125
1711662503,R,75.7265625
1711662503,W,141.734375
1711662504,R,232.48046875
1711662504,W,45.63671875
1711662505,R,239.703125
1711662505,W,9.19140625
1711662506,R,134.2578125
1711662506,W,113.98046875
1711662507,R,48.0390625
1711662507,W,198.1640625
1711662508,R,0.0
1711662508,W,249.22265625
1711662509,R,0.0
1711662509,W,248.06640625
1711662510,R,0.00390625
1711662510,W,248.08203125
1711662511,R,0.76953125
1711662511,W,247.40234375
1711662512,R,0.00390625
1711662512,W,247.125
1711662513,R,0.00390625
1711662513,W,247.27734375
1711662514,R,0.20703125
1711662514,W,248.96484375
1711662515,R,0.0
1711662515,W,248.25
1711662516,R,0.0
1711662516,W,247.546875
1711662517,R,0.0
1711662517,W,247.984375
1711662518,R,0.0078125
1711662518,W,249.2578125
1711662519,R,0.12890625
1711662519,W,247.58984375
1711662520,R,0.27734375
1711662520,W,247.8359375
1711662521,R,0.00390625
1711662521,W,247.91015625
1711662522,R,0.0
1711662522,W,248.00390625
1711662523,R,0.0
1711662523,W,245.95703125
1711662524,R,0.0
1711662524,W,248.953125
1711662525,R,119.859375
1711662525,W,129.11328125
1711662526,R,120.078125
1711662526,W,127.375
1711662527,R,45.05078125
1711662527,W,203.44921875
1711662528,R,22.7734375
1711662528,W,225.34765625
1711662529,R,56.1171875
1711662529,W,191.875
1711662530,R,39.203125
1711662530,W,207.76171875
1711662531,R,46.25
1711662531,W,202.69140625
1711662532,R,31.99609375
1711662532,W,216.50390625
1711662533,R,41.98046875
1711662533,W,206.515625
1711662534,R,53.94140625
1711662534,W,193.546875
1711662535,R,38.375
1711662535,W,210.4296875
1711662536,R,22.5078125
1711662536,W,224.765625
1711662537,R,56.03125
1711662537,W,190.16796875
1711662538,R,0.0
1711662538,W,248.90625
1711662539,R,0.00390625
1711662539,W,248.37109375
1711662540,R,0.0
1711662540,W,248.25390625
1711662541,R,2.99609375
1711662541,W,243.31640625
1711662542,R,0.00390625
1711662542,W,249.12109375
1711662543,R,3.1875
1711662543,W,245.5703125
1711662544,R,16.64453125
1711662544,W,231.109375
1711662545,R,0.00390625
1711662545,W,247.03515625
1711662546,R,0.0
1711662546,W,247.16796875
1711662547,R,15.62890625
1711662547,W,232.046875
1711662548,R,15.01953125
1711662548,W,233.76171875
1711662549,R,28.94140625
1711662549,W,218.17578125
1711662550,R,4.0
1711662550,W,244.9921875
1711662551,R,18.63671875
1711662551,W,228.46875
1711662552,R,19.60546875
1711662552,W,228.83203125
1711662553,R,19.91015625
1711662553,W,227.84765625
1711662554,R,2.61328125
1711662554,W,245.2265625
1711662555,R,14.33203125
1711662555,W,234.09375
1711662556,R,24.0
1711662556,W,223.50390625
1711662557,R,45.015625
1711662557,W,203.828125
1711662558,R,60.89453125
1711662558,W,186.78125
1711662559,R,88.953125
1711662559,W,159.14453125
1711662560,R,33.375
1711662560,W,214.40234375
1711662561,R,73.89453125
1711662561,W,174.3359375
1711662562,R,26.80859375
1711662562,W,221.39453125
1711662563,R,75.80859375
1711662563,W,171.69140625
1711662564,R,39.390625
1711662564,W,208.66015625
1711662565,R,12.1640625
1711662565,W,235.73828125
1711662566,R,129.734375
1711662566,W,118.76953125
1711662567,R,68.31640625
1711662567,W,179.57421875
1711662568,R,94.15625
1711662568,W,153.3125
1711662569,R,2.30078125
1711662569,W,245.9375
1711662570,R,0.0234375
1711662570,W,247.69921875
1711662571,R,2.1328125
1711662571,W,245.96484375
1711662572,R,1.125
1711662572,W,247.12890625
1711662573,R,0.109375
1711662573,W,248.1875
1711662574,R,0.03125
1711662574,W,247.45703125
1711662575,R,6.33203125
1711662575,W,241.765625
1711662576,R,0.14453125
1711662576,W,247.84765625
1711662577,R,1.33984375
1711662577,W,246.8359375
1711662578,R,0.0
1711662578,W,248.08203125
1711662579,R,0.875
1711662579,W,246.83203125
1711662580,R,0.0625
1711662580,W,248.296875
1711662581,R,0.09765625
1711662581,W,247.609375
1711662582,R,0.0078125
1711662582,W,248.49609375
1711662583,R,0.01953125
1711662583,W,248.12109375
1711662584,R,7.765625
1711662584,W,240.8125
1711662585,R,0.10546875
1711662585,W,247.375
1711662586,R,0.0078125
1711662586,W,247.0078125
1711662587,R,0.078125
1711662587,W,249.09765625
1711662588,R,0.0
1711662588,W,247.875
1711662589,R,0.01171875
1711662589,W,247.79296875
1711662590,R,0.04296875
1711662590,W,248.65625
1711662591,R,1.92578125
1711662591,W,245.65234375
1711662592,R,2.10546875
1711662592,W,245.84765625
1711662593,R,12.015625
1711662593,W,235.6640625
1711662594,R,12.0078125
1711662594,W,235.9375
1711662595,R,0.015625
1711662595,W,248.1640625
1711662596,R,1.10546875
1711662596,W,246.6171875
1711662597,R,4.12109375
1711662597,W,244.0625
1711662598,R,8.015625
1711662598,W,239.828125
1711662599,R,17.63671875
1711662599,W,231.33984375
1711662600,R,2.39453125
1711662600,W,244.8359375
1711662601,R,4.0078125
1711662601,W,244.44140625
1711662602,R,21.02734375
1711662602,W,214.66015625
1711662603,R,196.1328125
1711662603,W,64.12890625
1711662604,R,222.18359375
1711662604,W,25.48828125
1711662605,R,100.49609375
1711662605,W,147.34765625
1711662606,R,81.37890625
1711662606,W,166.671875
1711662607,R,107.11328125
1711662607,W,140.9453125
1711662608,R,73.42578125
1711662608,W,174.453125
1711662609,R,23.71875
1711662609,W,224.77734375
1711662610,R,30.5234375
1711662610,W,217.3125
1711662611,R,12.07421875
1711662611,W,235.4296875
1711662612,R,23.7265625
1711662612,W,224.8046875
1711662613,R,11.25390625
1711662613,W,236.59375
1711662614,R,39.55859375
1711662614,W,208.56640625
1711662615,R,0.0
1711662615,W,247.83203125
1711662616,R,20.8515625
1711662616,W,227.72265625
1711662617,R,58.22265625
1711662617,W,189.36328125
1711662618,R,5.71875
1711662618,W,242.31640625
1711662619,R,2.3046875
1711662619,W,245.78515625
1711662620,R,77.41015625
1711662620,W,170.58203125
1711662621,R,36.23828125
1711662621,W,211.4765625
1711662622,R,21.00390625
1711662622,W,227.3828125
1711662623,R,16.69921875
1711662623,W,231.12109375
1711662624,R,9.53515625
1711662624,W,238.2265625
1711662625,R,40.74609375
1711662625,W,207.4140625
1711662626,R,96.01953125
1711662626,W,151.78125
1711662627,R,73.97265625
1711662627,W,174.25390625
1711662628,R,22.109375
1711662628,W,225.68359375
1711662629,R,17.90234375
1711662629,W,230.24609375
1711662630,R,16.84375
1711662630,W,231.08984375
1711662631,R,194.2421875
1711662631,W,53.96484375
1711662632,R,236.80859375
1711662632,W,11.109375
1711662633,R,212.8046875
1711662633,W,35.3984375
1711662634,R,218.7109375
1711662634,W,29.28125
1711662635,R,170.00390625
1711662635,W,77.5625
1711662636,R,128.0078125
1711662636,W,120.125
1711662637,R,141.5859375
1711662637,W,106.6484375
1711662638,R,101.50390625
1711662638,W,146.06640625
1711662639,R,133.85546875
1711662639,W,114.6171875
1711662640,R,56.16015625
1711662640,W,191.2890625
1711662641,R,102.71875
1711662641,W,145.421875
1711662642,R,140.046875
1711662642,W,108.04296875
1711662643,R,53.1171875
1711662643,W,195.39453125
1711662644,R,42.0078125
1711662644,W,205.53515625
1711662645,R,59.9453125
1711662645,W,188.6015625
1711662646,R,116.15625
1711662646,W,131.92578125
1711662647,R,64.7109375
1711662647,W,184.04296875
1711662648,R,60.609375
1711662648,W,187.2265625
1711662649,R,60.5625
1711662649,W,187.53515625
1711662650,R,81.33203125
1711662650,W,166.578125
1711662651,R,94.875
1711662651,W,152.546875
1711662652,R,107.3046875
1711662652,W,141.125
1711662653,R,83.1328125
1711662653,W,164.72265625
1711662654,R,56.015625
1711662654,W,192.05859375
1711662655,R,85.28125
1711662655,W,162.4765625
1711662656,R,140.63671875
1711662656,W,107.32421875
1711662657,R,94.140625
1711662657,W,152.77734375
1711662658,R,40.79296875
1711662658,W,207.80078125
1711662659,R,60.42578125
1711662659,W,187.83984375
1711662660,R,4.01953125
1711662660,W,243.19921875
1711662661,R,36.0078125
1711662661,W,211.80078125
1711662662,R,36.7734375
1711662662,W,212.01171875
1711662663,R,53.59765625
1711662663,W,195.09765625
1711662664,R,43.58203125
1711662664,W,204.20703125
1711662665,R,46.9921875
1711662665,W,201.3671875
1711662666,R,81.390625
1711662666,W,167.0625
1711662667,R,29.59375
1711662667,W,217.875
1711662668,R,41.625
1711662668,W,206.5546875
1711662669,R,74.3828125
1711662669,W,174.09765625
1711662670,R,72.00390625
1711662670,W,175.921875
1711662671,R,60.00390625
1711662671,W,188.1953125
1711662672,R,41.671875
1711662672,W,206.23828125
1711662673,R,79.0078125
1711662673,W,169.1640625
1711662674,R,100.0859375
1711662674,W,147.90234375
1711662675,R,21.3671875
1711662675,W,226.53125
1711662676,R,0.0078125
1711662676,W,248.33203125
1711662677,R,8.05859375
1711662677,W,239.6328125
1711662678,R,45.53125
1711662678,W,202.4453125
1711662679,R,76.59375
1711662679,W,171.12109375
1711662680,R,84.5
1711662680,W,163.796875
1711662681,R,50.94140625
1711662681,W,197.06640625
1711662682,R,12.56640625
1711662682,W,235.37109375
1711662683,R,93.1640625
1711662683,W,153.1171875
1711662684,R,98.38671875
1711662684,W,150.09765625
1711662685,R,133.5234375
1711662685,W,114.52734375
1711662686,R,54.05078125
1711662686,W,193.1015625
1711662687,R,28.5859375
1711662687,W,219.6953125
1711662688,R,37.33203125
